0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EAEFC438>,kareli,in,22.93,53.41,83,0,3.8,1514655876
<citipy.citipy.City object at 0x000001F1EA75D668>,aketi,cd,2.74,79.51,74,8,2.35,1514655877
<citipy.citipy.City object at 0x000001F1EB1C6668>,sandusky,us,41.45,15.8,72,90,10.29,1514654700
<citipy.citipy.City object at 0x000001F1EBB9A278>,oktyabrskiy,ru,55.61,34.68,96,75,13.42,1514653200
<citipy.citipy.City object at 0x000001F1EA518080>,bathsheba,bb,13.22,84.2,74,40,23.04,1514653200
<citipy.citipy.City object at 0x000001F1EB32B780>,hovd,mn,63.83,24.06,79,0,6.93,1514654400
<citipy.citipy.City object at 0x000001F1EA6AE7B8>,sao jose da coroa grande,br,-8.9,85.72,65,12,12.64,1514655520
<citipy.citipy.City object at 0x000001F1EBD04710>,borama,so,,,,,,
<citipy.citipy.City object at 0x000001F1EB8E5A20>,cungrea,ro,44.67,35.6,69,36,8.05,1514655000
<citipy.citipy.City object at 0x000001F1EA4D2B70>,broken hill,au,-31.97,62.32,71,56,7.61,1514655639
<citipy.citipy.City object at 0x000001F1EBC35518>,talnakh,ru,69.49,0.27,74,76,19.98,1514655468
<citipy.citipy.City object at 0x000001F1EC232B70>,luganville,vu,-15.51,78.03,100,76,10.92,1514655511
<citipy.citipy.City object at 0x000001F1EBBF5AC8>,severo-kurilsk,ru,50.68,33.84,93,92,24.79,1514655439
<citipy.citipy.City object at 0x000001F1EA7A8240>,avarua,ck,-21.21,71.6,94,20,2.24,1514653200
<citipy.citipy.City object at 0x000001F1EBA9C550>,dudinka,ru,69.41,-3.88,78,80,25.23,1514655881
<citipy.citipy.City object at 0x000001F1EA4A7B70>,rawson,ar,-43.3,70.96,32,0,20.47,1514655881
<citipy.citipy.City object at 0x000001F1EA7EE1D0>,jiuquan,cn,39.73,-0.32,51,0,2.42,1514655657
<citipy.citipy.City object at 0x000001F1EBCDF208>,longyearbyen,sj,78.22,1.4,59,20,16.11,1514652600
<citipy.citipy.City object at 0x000001F1EB1A7EF0>,elizabeth city,us,36.3,44.76,45,1,10.29,1514654400
<citipy.citipy.City object at 0x000001F1EA4E3940>,port lincoln,au,-34.72,56.2,100,0,3.58,1514655558
<citipy.citipy.City object at 0x000001F1EA4A02E8>,menongue,ao,-14.66,72.45,64,88,2.35,1514655883
